Logo	Wall Side	X Coordinate	Y Coordinate
Best Western	Left	1	5
Colgate	Left	3	38
Domino	Left	3	20
Helms	Left	3	80
Hiho	Left	32	4
Portland	Left	35	40
Urth	Left	23	53
Britex	Left	65	8
Bond	Right	1	3
Citgo	Right	30	30
Padre	Right	5	80
Rabbit	Right	40	70
Lincoln	Right	35	5
Tucson (Cactus)	Right	15	30
Wallauer	Right	3	33
Heinz	Right	55	25
